iid,product_id,contract_date,contract_maturity,expiry_maturity,version_number,call_put_flag,exercise_price,exercise_style_flag,initial_margin,component_margin,premium_margin,total_margin_db,date_display
69032279,ODAX,2025-06-20,202506,202506,0,P,19000.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80685865,ODAX,2025-06-20,202506,202506,0,P,19050.0,E,0.0,0.0,-0.0,0.0,2025-06-20
70023029,ODAX,2025-06-20,202506,202506,0,P,19100.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80686041,ODAX,2025-06-20,202506,202506,0,P,19150.0,E,0.0,0.0,-0.0,0.0,2025-06-20
69102344,ODAX,2025-06-20,202506,202506,0,P,19200.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80589871,ODAX,2025-06-20,202506,202506,0,P,19250.0,E,0.0,0.0,-0.0,0.0,2025-06-20
71009362,ODAX,2025-06-20,202506,202506,0,P,19300.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80588885,ODAX,2025-06-20,202506,202506,0,P,19350.0,E,0.0,0.0,-0.0,0.0,2025-06-20
69266773,ODAX,2025-06-20,202506,202506,0,P,19400.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80588108,ODAX,2025-06-20,202506,202506,0,P,19450.0,E,0.0,0.0,-0.0,0.0,2025-06-20
64073779,ODAX,2025-06-20,202506,202506,0,P,19500.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80589219,ODAX,2025-06-20,202506,202506,0,P,19550.0,E,0.0,0.0,-0.0,0.0,2025-06-20
71079718,ODAX,2025-06-20,202506,202506,0,P,19600.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80506226,ODAX,2025-06-20,202506,202506,0,P,19650.0,E,0.0,0.0,-0.0,0.0,2025-06-20
71079583,ODAX,2025-06-20,202506,202506,0,P,19700.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80505403,ODAX,2025-06-20,202506,202506,0,P,19750.0,E,0.0,0.0,-0.0,0.0,2025-06-20
71079650,ODAX,2025-06-20,202506,202506,0,P,19800.0,E,0.0,0.0,-0.0,0.0,2025-06-20
80505287,ODAX,2025-06-20,202506,202506,0,P,19850.0,E,0.0,0.0,-0.0,0.0,2025-06-20
71079464,ODAX,2025-06-20,202506,202506,0,P,19900.0,E,2.64,2.6426069362350004,0.5,4.71,2025-06-20
80450978,ODAX,2025-06-20,202506,202506,0,P,19950.0,E,2.65,2.6546871421950002,0.5,4.73,2025-06-20
70001353,ODAX,2025-06-20,202506,202506,0,P,20000.0,E,2.61,2.6100582782600004,0.5,4.67,2025-06-20
80449218,ODAX,2025-06-20,202506,202506,0,P,20050.0,E,2.62,2.62220130172,0.5,4.68,2025-06-20
71524377,ODAX,2025-06-20,202506,202506,0,P,20100.0,E,2.58,2.5775473296599998,0.5,4.62,2025-06-20
80451086,ODAX,2025-06-20,202506,202506,0,P,20150.0,E,2.59,2.58875799545,0.5,4.63,2025-06-20
71525488,ODAX,2025-06-20,202506,202506,0,P,20200.0,E,2.54,2.544118998195,0.5,4.57,2025-06-20
80423462,ODAX,2025-06-20,202506,202506,0,P,20250.0,E,2.56,2.555469778265,0.5,4.58,2025-06-20
71524249,ODAX,2025-06-20,202506,202506,0,P,20300.0,E,2.51,2.5108863314649996,0.5,4.52,2025-06-20
80355438,ODAX,2025-06-20,202506,202506,0,P,20350.0,E,2.52,2.52345853857,0.5,4.54,2025-06-20
71524496,ODAX,2025-06-20,202506,202506,0,P,20400.0,E,4.04,4.03862466358,1.0,7.56,2025-06-20
79960857,ODAX,2025-06-20,202506,202506,0,P,20450.0,E,4.05,4.049822565065,1.0,7.57,2025-06-20
63705663,ODAX,2025-06-20,202506,202506,0,P,20500.0,E,4.01,4.00552018091,1.0,7.51,2025-06-20
79979245,ODAX,2025-06-20,202506,202506,0,P,20550.0,E,4.02,4.01695737426,1.0,7.53,2025-06-20
75500654,ODAX,2025-06-20,202506,202506,0,P,20600.0,E,4.0,4.000681795385,1.0,7.5,2025-06-20
79977712,ODAX,2025-06-20,202506,202506,0,P,20650.0,E,3.98,3.9845238798150002,1.0,7.48,2025-06-20
76878252,ODAX,2025-06-20,202506,202506,0,P,20700.0,E,5.53,5.5286620341,1.5,10.54,2025-06-20
79959615,ODAX,2025-06-20,202506,202506,0,P,20750.0,E,5.51,5.511422115,1.5,10.52,2025-06-20
69226513,ODAX,2025-06-20,202506,202506,0,P,20800.0,E,7.03,7.0268975325700005,2.0,13.54,2025-06-20
79977888,ODAX,2025-06-20,202506,202506,0,P,20850.0,E,7.04,7.039090272739999,2.0,13.56,2025-06-20
76893490,ODAX,2025-06-20,202506,202506,0,P,20900.0,E,8.58,8.582700022145,2.5,16.62,2025-06-20
79951486,ODAX,2025-06-20,202506,202506,0,P,20950.0,E,9.72,9.716748879105001,3.1,19.23,2025-06-20
69226657,ODAX,2025-06-20,202506,202506,0,P,21000.0,E,10.0,9.999496629295,3.5,20.25,2025-06-20
79960070,ODAX,2025-06-20,202506,202506,0,P,21050.0,E,10.57,10.574264419275,4.1,22.01,2025-06-20
76909837,ODAX,2025-06-20,202506,202506,0,P,21100.0,E,11.0,11.00048827407,4.6,23.4,2025-06-20
79971974,ODAX,2025-06-20,202506,202506,0,P,21150.0,E,11.43,11.4273580534,5.1,24.79,2025-06-20
69226693,ODAX,2025-06-20,202506,202506,0,P,21200.0,E,12.28,12.279554223344999,6.0,27.42,2025-06-20
79959737,ODAX,2025-06-20,202506,202506,0,P,21250.0,E,12.85,12.852468416955,6.6,29.18,2025-06-20
76932406,ODAX,2025-06-20,202506,202506,0,P,21300.0,E,13.28,13.27861422051,7.1,30.57,2025-06-20
79957481,ODAX,2025-06-20,202506,202506,0,P,21350.0,E,14.27,14.272664376325,8.1,33.56,2025-06-20
67822589,ODAX,2025-06-20,202506,202506,0,P,21400.0,E,15.12,15.1227181696,9.0,36.18,2025-06-20
79958558,ODAX,2025-06-20,202506,202506,0,P,21450.0,E,15.7,15.695042290765,9.6,37.94,2025-06-20
77853039,ODAX,2025-06-20,202506,202506,0,P,21500.0,E,16.69,16.687735901795,10.6,40.93,2025-06-20
79978253,ODAX,2025-06-20,202506,202506,0,P,21550.0,E,17.12,17.116267949695,11.1,42.32,2025-06-20
67822281,ODAX,2025-06-20,202506,202506,0,P,21600.0,E,317.66,317.6566321065201,13.5,496.73,2025-06-20
79948502,ODAX,2025-06-20,202506,202506,0,P,21650.0,E,470.24,470.2379676482,13.6,725.76,2025-06-20
77968737,ODAX,2025-06-20,202506,202506,0,P,21700.0,E,720.88,720.87782375863,14.6,1103.22,2025-06-20
79947366,ODAX,2025-06-20,202506,202506,0,P,21750.0,E,971.52,971.5168294443351,15.6,1480.68,2025-06-20
67822414,ODAX,2025-06-20,202506,202506,0,P,21800.0,E,1320.94,1320.944255202595,18.5,2009.17,2025-06-20
82865852,ODAX,2025-06-20,202506,202506,0,P,21825.0,E,1338.55,1338.54841950403,17.5,2034.07,2025-06-20
79952634,ODAX,2025-06-20,202506,202506,0,P,21850.0,E,1473.53,1473.5262276800302,18.6,2238.19,2025-06-20
82865706,ODAX,2025-06-20,202506,202506,0,P,21875.0,E,1589.55,1589.55181237232,19.0,2412.83,2025-06-20
77984678,ODAX,2025-06-20,202506,202506,0,P,21900.0,E,1724.53,1724.52867935106,20.1,2616.94,2025-06-20
82851990,ODAX,2025-06-20,202506,202506,0,P,21925.0,E,1840.53,1840.5307893724598,20.5,2791.55,2025-06-20
79970006,ODAX,2025-06-20,202506,202506,0,P,21950.0,E,1975.74,1975.7385615251005,22.1,2996.76,2025-06-20
82851977,ODAX,2025-06-20,202506,202506,0,P,21975.0,E,2091.65,2091.649058158745,22.5,3171.22,2025-06-20
70167467,ODAX,2025-06-20,202506,202506,0,P,22000.0,E,2324.37,2324.373051103671,25.4,3524.66,2025-06-20
